"本檔為研究建議,未經人工確認不得使用。"
"App作物","標準近似名","建議(涵蓋/不涵蓋/無法判斷)","理由","來源","信心(高/中/低)"
"果菜類","其他果菜類(金針、洛神葵除外)","無法判斷","App 作物名稱本身不在排除名單，但 App 端是廣泛群組；排除名單含「金針、洛神葵」，群組內可能同時有被排除與未排除成員，不能整組視為涵蓋或不涵蓋。","https://www.fda.gov.tw/TC/newsContent.aspx?cid=3&id=31306；https://data.fda.gov.tw/data/opendata/export/16/json；mrl-data/通用列規則整理.md#027","中"
"油菜","油菜籽","不涵蓋","兩名稱只是字面局部相似，官方分類或食用部位不同；「油菜」不能視為「油菜籽」同一標準作物。","https://www.fda.gov.tw/TC/newsContent.aspx?cid=3&id=31306；https://data.fda.gov.tw/data/opendata/export/16/json；mrl-data/latest.json","高"
"狗尾草","狗尾草根","無法判斷","標準名「狗尾草根」限定加工型態、食用部位或排除子型態；App 名「狗尾草」較廣，不能把部分型態的容許量套給全部。","https://www.fda.gov.tw/TC/newsContent.aspx?cid=3&id=31306；https://data.fda.gov.tw/data/opendata/export/16/json；mrl-data/latest.json","中"
"玫瑰","玫瑰(乾)","無法判斷","標準名「玫瑰(乾)」限定加工型態、食用部位或排除子型態；App 名「玫瑰」較廣，不能把部分型態的容許量套給全部。","https://www.fda.gov.tw/TC/newsContent.aspx?cid=3&id=31306；https://data.fda.gov.tw/data/opendata/export/16/json；mrl-data/latest.json","中"
"玫瑰","玫瑰(鮮)","無法判斷","標準名「玫瑰(鮮)」限定加工型態、食用部位或排除子型態；App 名「玫瑰」較廣，不能把部分型態的容許量套給全部。","https://www.fda.gov.tw/TC/newsContent.aspx?cid=3&id=31306；https://data.fda.gov.tw/data/opendata/export/16/json；mrl-data/latest.json","中"
"花豆","花豆(乾)","無法判斷","標準名「花豆(乾)」限定加工型態、食用部位或排除子型態；App 名「花豆」較廣，不能把部分型態的容許量套給全部。","https://www.fda.gov.tw/TC/newsContent.aspx?cid=3&id=31306；https://data.fda.gov.tw/data/opendata/export/16/json；mrl-data/latest.json","中"
"花豆","花豆(鮮)","無法判斷","標準名「花豆(鮮)」限定加工型態、食用部位或排除子型態；App 名「花豆」較廣，不能把部分型態的容許量套給全部。","https://www.fda.gov.tw/TC/newsContent.aspx?cid=3&id=31306；https://data.fda.gov.tw/data/opendata/export/16/json；mrl-data/latest.json","中"
"花豆","其他豆菜類(刀豆、毛豆、花豆(鮮)、扁豆、豇豆(鮮)、萊豆、菜豆、豌豆、樹豆(鮮)、翼豆、蠶豆(鮮)、鷹嘴豆除外)","不涵蓋","作物分類對照將「花豆」列為「乾豆類 / 豆菜類」，與通用列母類「豆菜類」不同，且作物未在排除名單內的事實不能跨類擴張。","https://www.fda.gov.tw/TC/newsContent.aspx?cid=3&id=31306；https://data.fda.gov.tw/data/opendata/export/16/json；mrl-data/通用列規則整理.md#019","高"
"花豆","其他豆菜類(刀豆、毛豆、花豆(鮮)、扁豆、豇豆(鮮)、菜豆、萊豆、豌豆、樹豆(鮮)、翼豆、蠶豆(鮮)、鷹嘴豆除外)","不涵蓋","作物分類對照將「花豆」列為「乾豆類 / 豆菜類」，與通用列母類「豆菜類」不同，且作物未在排除名單內的事實不能跨類擴張。","https://www.fda.gov.tw/TC/newsContent.aspx?cid=3&id=31306；https://data.fda.gov.tw/data/opendata/export/16/json；mrl-data/通用列規則整理.md#013","高"
"柑桔類","其他柑桔類(檸檬除外)","無法判斷","App 作物名稱本身不在排除名單，但 App 端是廣泛群組；排除名單含「檸檬」，群組內可能同時有被排除與未排除成員，不能整組視為涵蓋或不涵蓋。","https://www.fda.gov.tw/TC/newsContent.aspx?cid=3&id=31306；https://data.fda.gov.tw/data/opendata/export/16/json；mrl-data/通用列規則整理.md#037","中"
"柑桔類","其他柑桔類(柳橙、葡萄柚、檸檬除外)","無法判斷","App 作物名稱本身不在排除名單，但 App 端是廣泛群組；排除名單含「柳橙、葡萄柚、檸檬」，群組內可能同時有被排除與未排除成員，不能整組視為涵蓋或不涵蓋。","https://www.fda.gov.tw/TC/newsContent.aspx?cid=3&id=31306；https://data.fda.gov.tw/data/opendata/export/16/json；mrl-data/通用列規則整理.md#136","中"
"柑桔類","其他柑桔類(葡萄柚、檸檬除外)","無法判斷","App 作物名稱本身不在排除名單，但 App 端是廣泛群組；排除名單含「葡萄柚、檸檬」，群組內可能同時有被排除與未排除成員，不能整組視為涵蓋或不涵蓋。","https://www.fda.gov.tw/TC/newsContent.aspx?cid=3&id=31306；https://data.fda.gov.tw/data/opendata/export/16/json；mrl-data/通用列規則整理.md#107","中"
"柑桔類","其他柑桔類(葡萄柚除外)","無法判斷","App 作物名稱本身不在排除名單，但 App 端是廣泛群組；排除名單含「葡萄柚」，群組內可能同時有被排除與未排除成員，不能整組視為涵蓋或不涵蓋。","https://www.fda.gov.tw/TC/newsContent.aspx?cid=3&id=31306；https://data.fda.gov.tw/data/opendata/export/16/json；mrl-data/通用列規則整理.md#096","中"
"柑桔類","其他柑桔類(柳橙除外)","無法判斷","App 作物名稱本身不在排除名單，但 App 端是廣泛群組；排除名單含「柳橙」，群組內可能同時有被排除與未排除成員，不能整組視為涵蓋或不涵蓋。","https://www.fda.gov.tw/TC/newsContent.aspx?cid=3&id=31306；https://data.fda.gov.tw/data/opendata/export/16/json；mrl-data/通用列規則整理.md#129","中"
"柿樹科梨果類","柿","無法判斷","App 作物是群組名稱「柿樹科梨果類」，標準近似名「柿」只代表群組的一部分，無法視為整組涵蓋。","https://www.fda.gov.tw/TC/newsContent.aspx?cid=3&id=31306；https://data.fda.gov.tw/data/opendata/export/16/json；mrl-data/latest.json","中"
"洛神葵","洛神葵(乾)","無法判斷","標準名「洛神葵(乾)」限定加工型態、食用部位或排除子型態；App 名「洛神葵」較廣，不能把部分型態的容許量套給全部。","https://www.fda.gov.tw/TC/newsContent.aspx?cid=3&id=31306；https://data.fda.gov.tw/data/opendata/export/16/json；mrl-data/latest.json","中"
"洛神葵","其他果菜類(金針、洛神葵除外)","不涵蓋","App 作物「洛神葵」明列於排除名單（金針、洛神葵），因此建議不涵蓋。","https://www.fda.gov.tw/TC/newsContent.aspx?cid=3&id=31306；https://data.fda.gov.tw/data/opendata/export/16/json；mrl-data/通用列規則整理.md#027","高"
"洛神葵","洛神葵(鮮)","無法判斷","標準名「洛神葵(鮮)」限定加工型態、食用部位或排除子型態；App 名「洛神葵」較廣，不能把部分型態的容許量套給全部。","https://www.fda.gov.tw/TC/newsContent.aspx?cid=3&id=31306；https://data.fda.gov.tw/data/opendata/export/16/json；mrl-data/latest.json","中"
"胡瓜","其他瓜菜類(小黃瓜、冬瓜、南瓜、扁蒲、胡瓜、苦瓜、夏南瓜、隼人瓜、絲瓜、越瓜除外)","不涵蓋","App 作物「胡瓜」明列於排除名單（小黃瓜、冬瓜、南瓜、扁蒲、胡瓜、苦瓜、夏南瓜、隼人瓜、絲瓜、越瓜），因此建議不涵蓋。","https://www.fda.gov.tw/TC/newsContent.aspx?cid=3&id=31306；https://data.fda.gov.tw/data/opendata/export/16/json；mrl-data/通用列規則整理.md#012","高"
"胡瓜","胡瓜(小黃瓜除外)","不涵蓋","附表五分別使用「胡瓜」與「胡瓜(小黃瓜除外)」；雖可能同屬一母類，但不是同一作物列。","https://www.fda.gov.tw/TC/newsContent.aspx?cid=3&id=31306；https://data.fda.gov.tw/data/opendata/export/16/json；mrl-data/latest.json","中"
"胡瓜","其他瓜菜類(南瓜、小黃瓜、胡瓜除外)","不涵蓋","App 作物「胡瓜」明列於排除名單（南瓜、小黃瓜、胡瓜），因此建議不涵蓋。","https://www.fda.gov.tw/TC/newsContent.aspx?cid=3&id=31306；https://data.fda.gov.tw/data/opendata/export/16/json；mrl-data/通用列規則整理.md#029","高"
"胡瓜","其他瓜菜類(小黃瓜、胡瓜除外)","不涵蓋","App 作物「胡瓜」明列於排除名單（小黃瓜、胡瓜），因此建議不涵蓋。","https://www.fda.gov.tw/TC/newsContent.aspx?cid=3&id=31306；https://data.fda.gov.tw/data/opendata/export/16/json；mrl-data/通用列規則整理.md#015","高"
"韭","韭菜","無法判斷","「韭」是泛稱，標準將韭菜、韭黃、韭菜花分列；單一分列不能代表泛稱下所有採收部位。","https://www.fda.gov.tw/TC/newsContent.aspx?cid=3&id=31306；https://data.fda.gov.tw/data/opendata/export/16/json；mrl-data/latest.json","中"
"韭","韭黃","無法判斷","「韭」是泛稱，標準將韭菜、韭黃、韭菜花分列；單一分列不能代表泛稱下所有採收部位。","https://www.fda.gov.tw/TC/newsContent.aspx?cid=3&id=31306；https://data.fda.gov.tw/data/opendata/export/16/json；mrl-data/latest.json","中"
"韭","韭菜花","無法判斷","標準名「韭菜花」限定加工型態、食用部位或排除子型態；App 名「韭」較廣，不能把部分型態的容許量套給全部。","https://www.fda.gov.tw/TC/newsContent.aspx?cid=3&id=31306；https://data.fda.gov.tw/data/opendata/export/16/json；mrl-data/latest.json","中"
"韭","其他小葉菜類(韭菜、茼蒿、菠菜、葉用豌豆除外)","無法判斷","「韭」與排除項目的部位或型態名稱相近（排除：韭菜、茼蒿、菠菜、葉用豌豆），但不是可安全視為完全相同的字串。","https://www.fda.gov.tw/TC/newsContent.aspx?cid=3&id=31306；https://data.fda.gov.tw/data/opendata/export/16/json；mrl-data/通用列規則整理.md#053","低"
"桃","油桃","不涵蓋","附表五分別使用「桃」與「油桃」；雖可能同屬一母類，但不是同一作物列。","https://www.fda.gov.tw/TC/newsContent.aspx?cid=3&id=31306；https://data.fda.gov.tw/data/opendata/export/16/json；mrl-data/latest.json","中"
"桃","桃(油桃除外)","不涵蓋","附表五分別使用「桃」與「桃(油桃除外)」；雖可能同屬一母類，但不是同一作物列。","https://www.fda.gov.tw/TC/newsContent.aspx?cid=3&id=31306；https://data.fda.gov.tw/data/opendata/export/16/json；mrl-data/latest.json","中"
"桃","櫻桃","不涵蓋","兩名稱只是字面局部相似，官方分類或食用部位不同；「桃」不能視為「櫻桃」同一標準作物。","https://www.fda.gov.tw/TC/newsContent.aspx?cid=3&id=31306；https://data.fda.gov.tw/data/opendata/export/16/json；mrl-data/latest.json","高"
"桃","美洲胡桃","不涵蓋","兩名稱只是字面局部相似，官方分類或食用部位不同；「桃」不能視為「美洲胡桃」同一標準作物。","https://www.fda.gov.tw/TC/newsContent.aspx?cid=3&id=31306；https://data.fda.gov.tw/data/opendata/export/16/json；mrl-data/latest.json","高"
"桃","澳洲胡桃","不涵蓋","兩名稱只是字面局部相似，官方分類或食用部位不同；「桃」不能視為「澳洲胡桃」同一標準作物。","https://www.fda.gov.tw/TC/newsContent.aspx?cid=3&id=31306；https://data.fda.gov.tw/data/opendata/export/16/json；mrl-data/latest.json","高"
"桃","楊桃","不涵蓋","兩名稱只是字面局部相似，官方分類或食用部位不同；「桃」不能視為「楊桃」同一標準作物。","https://www.fda.gov.tw/TC/newsContent.aspx?cid=3&id=31306；https://data.fda.gov.tw/data/opendata/export/16/json；mrl-data/latest.json","高"
"桃","其他堅果類(澳洲胡桃除外)","不涵蓋","作物分類對照將「桃」列為「梨果類」，與通用列母類「堅果類」不同，且作物未在排除名單內的事實不能跨類擴張。","https://www.fda.gov.tw/TC/newsContent.aspx?cid=3&id=31306；https://data.fda.gov.tw/data/opendata/export/16/json；mrl-data/通用列規則整理.md#041","高"
"桃","其他梨果類(印度棗及櫻桃除外)","涵蓋","作物分類對照將「桃」列入「梨果類」，且未出現在排除名單（印度棗、櫻桃）；依 D 檔第 042 節 可作涵蓋建議，但 D 檔明示沒有逐列集合運算的法規定義，必須人工複核。","https://www.fda.gov.tw/TC/newsContent.aspx?cid=3&id=31306；https://data.fda.gov.tw/data/opendata/export/16/json；mrl-data/通用列規則整理.md#042","中"
"桃","胡桃","不涵蓋","附表五分別使用「桃」與「胡桃」；雖可能同屬一母類，但不是同一作物列。","https://www.fda.gov.tw/TC/newsContent.aspx?cid=3&id=31306；https://data.fda.gov.tw/data/opendata/export/16/json；mrl-data/latest.json","中"
"桃","其他堅果類(胡桃、榛果除外)","不涵蓋","作物分類對照將「桃」列為「梨果類」，與通用列母類「堅果類」不同，且作物未在排除名單內的事實不能跨類擴張。","https://www.fda.gov.tw/TC/newsContent.aspx?cid=3&id=31306；https://data.fda.gov.tw/data/opendata/export/16/json；mrl-data/通用列規則整理.md#071","高"
"桃","其他梨果類(李、杏、油桃、櫻桃、梨、柿除外)","涵蓋","作物分類對照將「桃」列入「梨果類」，且未出現在排除名單（李、杏、油桃、櫻桃、梨、柿）；依 D 檔第 078 節 可作涵蓋建議，但 D 檔明示沒有逐列集合運算的法規定義，必須人工複核。","https://www.fda.gov.tw/TC/newsContent.aspx?cid=3&id=31306；https://data.fda.gov.tw/data/opendata/export/16/json；mrl-data/通用列規則整理.md#078","中"
"豇豆","豇豆(乾)","無法判斷","標準名「豇豆(乾)」限定加工型態、食用部位或排除子型態；App 名「豇豆」較廣，不能把部分型態的容許量套給全部。","https://www.fda.gov.tw/TC/newsContent.aspx?cid=3&id=31306；https://data.fda.gov.tw/data/opendata/export/16/json；mrl-data/latest.json","中"
"豇豆","豇豆(鮮)","無法判斷","標準名「豇豆(鮮)」限定加工型態、食用部位或排除子型態；App 名「豇豆」較廣，不能把部分型態的容許量套給全部。","https://www.fda.gov.tw/TC/newsContent.aspx?cid=3&id=31306；https://data.fda.gov.tw/data/opendata/export/16/json；mrl-data/latest.json","中"
"豇豆","其他豆菜類(刀豆、毛豆、花豆(鮮)、扁豆、豇豆(鮮)、萊豆、菜豆、豌豆、樹豆(鮮)、翼豆、蠶豆(鮮)、鷹嘴豆除外)","不涵蓋","作物分類對照將「豇豆」列為「乾豆類 / 豆菜類」，與通用列母類「豆菜類」不同，且作物未在排除名單內的事實不能跨類擴張。","https://www.fda.gov.tw/TC/newsContent.aspx?cid=3&id=31306；https://data.fda.gov.tw/data/opendata/export/16/json；mrl-data/通用列規則整理.md#019","高"
"豇豆","豇豆(乾燥)","無法判斷","標準名「豇豆(乾燥)」限定加工型態、食用部位或排除子型態；App 名「豇豆」較廣，不能把部分型態的容許量套給全部。","https://www.fda.gov.tw/TC/newsContent.aspx?cid=3&id=31306；https://data.fda.gov.tw/data/opendata/export/16/json；mrl-data/latest.json","中"
"豇豆","其他豆菜類(刀豆、毛豆、花豆(鮮)、扁豆、豇豆(鮮)、菜豆、萊豆、豌豆、樹豆(鮮)、翼豆、蠶豆(鮮)、鷹嘴豆除外)","不涵蓋","作物分類對照將「豇豆」列為「乾豆類 / 豆菜類」，與通用列母類「豆菜類」不同，且作物未在排除名單內的事實不能跨類擴張。","https://www.fda.gov.tw/TC/newsContent.aspx?cid=3&id=31306；https://data.fda.gov.tw/data/opendata/export/16/json；mrl-data/通用列規則整理.md#013","高"
"梨","其他梨果類(桃、櫻桃除外)","涵蓋","作物分類對照將「梨」列入「梨果類」，且未出現在排除名單（桃、櫻桃）；依 D 檔第 145 節 可作涵蓋建議，但 D 檔明示沒有逐列集合運算的法規定義，必須人工複核。","https://www.fda.gov.tw/TC/newsContent.aspx?cid=3&id=31306；https://data.fda.gov.tw/data/opendata/export/16/json；mrl-data/通用列規則整理.md#145","中"
"梨","酪梨","不涵蓋","兩名稱只是字面局部相似，官方分類或食用部位不同；「梨」不能視為「酪梨」同一標準作物。","https://www.fda.gov.tw/TC/newsContent.aspx?cid=3&id=31306；https://data.fda.gov.tw/data/opendata/export/16/json；mrl-data/latest.json","高"
"梨","其他梨果類(櫻桃除外)","涵蓋","作物分類對照將「梨」列入「梨果類」，且未出現在排除名單（櫻桃）；依 D 檔第 131 節 可作涵蓋建議，但 D 檔明示沒有逐列集合運算的法規定義，必須人工複核。","https://www.fda.gov.tw/TC/newsContent.aspx?cid=3&id=31306；https://data.fda.gov.tw/data/opendata/export/16/json；mrl-data/通用列規則整理.md#131","中"
"梨","其他梨果類(柿除外)","涵蓋","作物分類對照將「梨」列入「梨果類」，且未出現在排除名單（柿）；依 D 檔第 072 節 可作涵蓋建議，但 D 檔明示沒有逐列集合運算的法規定義，必須人工複核。","https://www.fda.gov.tw/TC/newsContent.aspx?cid=3&id=31306；https://data.fda.gov.tw/data/opendata/export/16/json；mrl-data/通用列規則整理.md#072","中"
"梨","其他梨果類(印度棗及櫻桃除外)","涵蓋","作物分類對照將「梨」列入「梨果類」，且未出現在排除名單（印度棗、櫻桃）；依 D 檔第 042 節 可作涵蓋建議，但 D 檔明示沒有逐列集合運算的法規定義，必須人工複核。","https://www.fda.gov.tw/TC/newsContent.aspx?cid=3&id=31306；https://data.fda.gov.tw/data/opendata/export/16/json；mrl-data/通用列規則整理.md#042","中"
"梨","其他梨果類(印度棗除外)","涵蓋","作物分類對照將「梨」列入「梨果類」，且未出現在排除名單（印度棗）；依 D 檔第 152 節 可作涵蓋建議，但 D 檔明示沒有逐列集合運算的法規定義，必須人工複核。","https://www.fda.gov.tw/TC/newsContent.aspx?cid=3&id=31306；https://data.fda.gov.tw/data/opendata/export/16/json；mrl-data/通用列規則整理.md#152","中"
"梨","其他梨果類﹙李、油桃、桃、蘋果及櫻桃除外﹚","涵蓋","作物分類對照將「梨」列入「梨果類」，且未出現在排除名單（李、油桃、桃、蘋果、櫻桃）；依 D 檔第 137 節 可作涵蓋建議，但 D 檔明示沒有逐列集合運算的法規定義，必須人工複核。","https://www.fda.gov.tw/TC/newsContent.aspx?cid=3&id=31306；https://data.fda.gov.tw/data/opendata/export/16/json；mrl-data/通用列規則整理.md#137","中"
"梨","其他梨果類(李、杏、油桃、桃、梅、櫻桃除外)","涵蓋","作物分類對照將「梨」列入「梨果類」，且未出現在排除名單（李、杏、油桃、桃、梅、櫻桃）；依 D 檔第 003 節 可作涵蓋建議，但 D 檔明示沒有逐列集合運算的法規定義，必須人工複核。","https://www.fda.gov.tw/TC/newsContent.aspx?cid=3&id=31306；https://data.fda.gov.tw/data/opendata/export/16/json；mrl-data/通用列規則整理.md#003","中"
"梨果類","其他梨果類(柿除外)","無法判斷","App 作物名稱本身不在排除名單，但 App 端是廣泛群組；排除名單含「柿」，群組內可能同時有被排除與未排除成員，不能整組視為涵蓋或不涵蓋。","https://www.fda.gov.tw/TC/newsContent.aspx?cid=3&id=31306；https://data.fda.gov.tw/data/opendata/export/16/json；mrl-data/通用列規則整理.md#072","中"
"梨果類","其他梨果類﹙李、油桃、桃、蘋果及櫻桃除外﹚","無法判斷","App 作物名稱本身不在排除名單，但 App 端是廣泛群組；排除名單含「李、油桃、桃、蘋果、櫻桃」，群組內可能同時有被排除與未排除成員，不能整組視為涵蓋或不涵蓋。","https://www.fda.gov.tw/TC/newsContent.aspx?cid=3&id=31306；https://data.fda.gov.tw/data/opendata/export/16/json；mrl-data/通用列規則整理.md#137","中"
"梨果類","其他梨果類(櫻桃除外)","無法判斷","App 作物名稱本身不在排除名單，但 App 端是廣泛群組；排除名單含「櫻桃」，群組內可能同時有被排除與未排除成員，不能整組視為涵蓋或不涵蓋。","https://www.fda.gov.tw/TC/newsContent.aspx?cid=3&id=31306；https://data.fda.gov.tw/data/opendata/export/16/json；mrl-data/通用列規則整理.md#131","中"
"梨果類","其他梨果類(桃除外)","無法判斷","App 作物名稱本身不在排除名單，但 App 端是廣泛群組；排除名單含「桃」，群組內可能同時有被排除與未排除成員，不能整組視為涵蓋或不涵蓋。","https://www.fda.gov.tw/TC/newsContent.aspx?cid=3&id=31306；https://data.fda.gov.tw/data/opendata/export/16/json；mrl-data/通用列規則整理.md#085","中"
"梨果類","其他梨果類(李、杏、油桃、櫻桃、梨、柿除外)","無法判斷","App 作物名稱本身不在排除名單，但 App 端是廣泛群組；排除名單含「李、杏、油桃、櫻桃、梨、柿」，群組內可能同時有被排除與未排除成員，不能整組視為涵蓋或不涵蓋。","https://www.fda.gov.tw/TC/newsContent.aspx?cid=3&id=31306；https://data.fda.gov.tw/data/opendata/export/16/json；mrl-data/通用列規則整理.md#078","中"
"梨果類","梨","無法判斷","App 作物是群組名稱「梨果類」，標準近似名「梨」只代表群組的一部分，無法視為整組涵蓋。","https://www.fda.gov.tw/TC/newsContent.aspx?cid=3&id=31306；https://data.fda.gov.tw/data/opendata/export/16/json；mrl-data/latest.json","中"
"棗","印度棗","無法判斷","「棗」可能指不同物種或產品，標準又分列印度棗與紅棗；缺少品種資訊不能選定。","https://www.fda.gov.tw/TC/newsContent.aspx?cid=3&id=31306；https://data.fda.gov.tw/data/opendata/export/16/json；mrl-data/latest.json","中"
"棗","紅棗","無法判斷","「棗」可能指不同物種或產品，標準又分列印度棗與紅棗；缺少品種資訊不能選定。","https://www.fda.gov.tw/TC/newsContent.aspx?cid=3&id=31306；https://data.fda.gov.tw/data/opendata/export/16/json；mrl-data/latest.json","中"
"番茄","番茄汁","不涵蓋","兩名稱只是字面局部相似，官方分類或食用部位不同；「番茄」不能視為「番茄汁」同一標準作物。","https://www.fda.gov.tw/TC/newsContent.aspx?cid=3&id=31306；https://data.fda.gov.tw/data/opendata/export/16/json；mrl-data/latest.json","高"
"紫蘇","紫蘇(乾)","無法判斷","標準名「紫蘇(乾)」限定加工型態、食用部位或排除子型態；App 名「紫蘇」較廣，不能把部分型態的容許量套給全部。","https://www.fda.gov.tw/TC/newsContent.aspx?cid=3&id=31306；https://data.fda.gov.tw/data/opendata/export/16/json；mrl-data/latest.json","中"
"結球萵苣","不結球萵苣","無法判斷","App 名「結球萵苣」與標準名「不結球萵苣」的範圍只部分交集或類型相反，不能整體套用。","https://www.fda.gov.tw/TC/newsContent.aspx?cid=3&id=31306；https://data.fda.gov.tw/data/opendata/export/16/json；mrl-data/latest.json","高"
"結球萵苣","半結球萵苣","無法判斷","App 名「結球萵苣」與標準名「半結球萵苣」的範圍只部分交集或類型相反，不能整體套用。","https://www.fda.gov.tw/TC/newsContent.aspx?cid=3&id=31306；https://data.fda.gov.tw/data/opendata/export/16/json；mrl-data/latest.json","高"
"葡萄","葡萄(乾)","無法判斷","標準名「葡萄(乾)」限定加工型態、食用部位或排除子型態；App 名「葡萄」較廣，不能把部分型態的容許量套給全部。","https://www.fda.gov.tw/TC/newsContent.aspx?cid=3&id=31306；https://data.fda.gov.tw/data/opendata/export/16/json；mrl-data/latest.json","中"
"葡萄","葡萄柚","不涵蓋","兩名稱只是字面局部相似，官方分類或食用部位不同；「葡萄」不能視為「葡萄柚」同一標準作物。","https://www.fda.gov.tw/TC/newsContent.aspx?cid=3&id=31306；https://data.fda.gov.tw/data/opendata/export/16/json；mrl-data/latest.json","高"
"鼠李科梨果類","李","不涵蓋","兩名稱只是字面局部相似，官方分類或食用部位不同；「鼠李科梨果類」不能視為「李」同一標準作物。","https://www.fda.gov.tw/TC/newsContent.aspx?cid=3&id=31306；https://data.fda.gov.tw/data/opendata/export/16/json；mrl-data/latest.json","高"
"鼠李科梨果類","梨","不涵蓋","兩名稱只是字面局部相似，官方分類或食用部位不同；「鼠李科梨果類」不能視為「梨」同一標準作物。","https://www.fda.gov.tw/TC/newsContent.aspx?cid=3&id=31306；https://data.fda.gov.tw/data/opendata/export/16/json；mrl-data/latest.json","高"
"臺灣藜","藜","涵蓋","作物分類對照將臺灣藜歸於雜糧類，標準列使用較短名稱「藜」；建議視為同一作物名稱，仍需人工確認別名。","https://www.fda.gov.tw/TC/newsContent.aspx?cid=3&id=31306；https://data.fda.gov.tw/data/opendata/export/16/json；mrl-data/latest.json","中"
"蒜","蒜頭","不涵蓋","兩名稱只是字面局部相似，官方分類或食用部位不同；「蒜」不能視為「蒜頭」同一標準作物。","https://www.fda.gov.tw/TC/newsContent.aspx?cid=3&id=31306；https://data.fda.gov.tw/data/opendata/export/16/json；mrl-data/latest.json","高"
"辣椒","辣椒(乾)","無法判斷","標準名「辣椒(乾)」限定加工型態、食用部位或排除子型態；App 名「辣椒」較廣，不能把部分型態的容許量套給全部。","https://www.fda.gov.tw/TC/newsContent.aspx?cid=3&id=31306；https://data.fda.gov.tw/data/opendata/export/16/json；mrl-data/latest.json","中"
"鳳梨","梨","不涵蓋","兩名稱只是字面局部相似，官方分類或食用部位不同；「鳳梨」不能視為「梨」同一標準作物。","https://www.fda.gov.tw/TC/newsContent.aspx?cid=3&id=31306；https://data.fda.gov.tw/data/opendata/export/16/json；mrl-data/latest.json","高"
"豌豆","其他乾豆類(落花生、小扁豆、菜豆、大豆、葵花籽、豌豆除外)","不涵蓋","App 作物「豌豆」明列於排除名單（落花生、小扁豆、菜豆、大豆、葵花籽、豌豆），因此建議不涵蓋。","https://www.fda.gov.tw/TC/newsContent.aspx?cid=3&id=31306；https://data.fda.gov.tw/data/opendata/export/16/json；mrl-data/通用列規則整理.md#160","高"
"豌豆","葉用豌豆","無法判斷","只能確認名稱近似；附表五及本機分類資料不足以證明「豌豆」與「葉用豌豆」是同一作物、同一部位及同一產品型態。","https://www.fda.gov.tw/TC/newsContent.aspx?cid=3&id=31306；https://data.fda.gov.tw/data/opendata/export/16/json；mrl-data/latest.json","低"
"豌豆","豌豆(包括莢豌豆及甜豌豆)","無法判斷","只能確認名稱近似；附表五及本機分類資料不足以證明「豌豆」與「豌豆(包括莢豌豆及甜豌豆)」是同一作物、同一部位及同一產品型態。","https://www.fda.gov.tw/TC/newsContent.aspx?cid=3&id=31306；https://data.fda.gov.tw/data/opendata/export/16/json；mrl-data/latest.json","低"
"豌豆","豌豆(乾)","無法判斷","標準名「豌豆(乾)」限定加工型態、食用部位或排除子型態；App 名「豌豆」較廣，不能把部分型態的容許量套給全部。","https://www.fda.gov.tw/TC/newsContent.aspx?cid=3&id=31306；https://data.fda.gov.tw/data/opendata/export/16/json；mrl-data/latest.json","中"
"豌豆","?用豌豆","無法判斷","標準近似名含「?」疑似轉碼或原文瑕疵，無法可靠確認 App 作物是否位於排除名單；latest.json 原始列亦要求回查公告原文，不能據此認定涵蓋。","https://www.fda.gov.tw/TC/newsContent.aspx?cid=3&id=31306；https://data.fda.gov.tw/data/opendata/export/16/json；mrl-data/latest.json","低"
"樹豆","樹豆(乾)","無法判斷","標準名「樹豆(乾)」限定加工型態、食用部位或排除子型態；App 名「樹豆」較廣，不能把部分型態的容許量套給全部。","https://www.fda.gov.tw/TC/newsContent.aspx?cid=3&id=31306；https://data.fda.gov.tw/data/opendata/export/16/json；mrl-data/latest.json","中"
"樹豆","樹豆(鮮)","無法判斷","標準名「樹豆(鮮)」限定加工型態、食用部位或排除子型態；App 名「樹豆」較廣，不能把部分型態的容許量套給全部。","https://www.fda.gov.tw/TC/newsContent.aspx?cid=3&id=31306；https://data.fda.gov.tw/data/opendata/export/16/json；mrl-data/latest.json","中"
"樹豆","其他豆菜類(刀豆、毛豆、花豆(鮮)、扁豆、豇豆(鮮)、萊豆、菜豆、豌豆、樹豆(鮮)、翼豆、蠶豆(鮮)、鷹嘴豆除外)","不涵蓋","作物分類對照將「樹豆」列為「乾豆類 / 豆菜類」，與通用列母類「豆菜類」不同，且作物未在排除名單內的事實不能跨類擴張。","https://www.fda.gov.tw/TC/newsContent.aspx?cid=3&id=31306；https://data.fda.gov.tw/data/opendata/export/16/json；mrl-data/通用列規則整理.md#019","高"
"樹豆","其他豆菜類(刀豆、毛豆、花豆(鮮)、扁豆、豇豆(鮮)、菜豆、萊豆、豌豆、樹豆(鮮)、翼豆、蠶豆(鮮)、鷹嘴豆除外)","不涵蓋","作物分類對照將「樹豆」列為「乾豆類 / 豆菜類」，與通用列母類「豆菜類」不同，且作物未在排除名單內的事實不能跨類擴張。","https://www.fda.gov.tw/TC/newsContent.aspx?cid=3&id=31306；https://data.fda.gov.tw/data/opendata/export/16/json；mrl-data/通用列規則整理.md#013","高"
